년도,격자코드,구분,총인구
2024,다라007856,to_in_001,5
2024,다라007858,to_in_001,8
2024,다라007926,to_in_001,5
2024,다라007927,to_in_001,5
2024,다라007929,to_in_001,5
2024,다라007955,to_in_001,5
2024,다라007956,to_in_001,8
2024,다라007957,to_in_001,0
2024,다라007961,to_in_001,5
2024,다라007962,to_in_001,8
2024,다라007963,to_in_001,8
2024,다라007964,to_in_001,5
2024,다라007965,to_in_001,5
2024,다라007966,to_in_001,5
2024,다라007967,to_in_001,5
2024,다라007968,to_in_001,0
2024,다라007990,to_in_001,5
2024,다라007991,to_in_001,13
2024,다라007992,to_in_001,8
2024,다라008200,to_in_001,5
2024,다라008201,to_in_001,8
2024,다라008202,to_in_001,8
2024,다라008203,to_in_001,5
2024,다라008204,to_in_001,13
2024,다라008208,to_in_001,5
2024,다라008210,to_in_001,0
2024,다라008312,to_in_001,8
2024,다라008313,to_in_001,5
2024,다라008401,to_in_001,5
2024,다라008408,to_in_001,5
2024,다라008413,to_in_001,0
2024,다라008455,to_in_001,18
2024,다라008456,to_in_001,149
2024,다라008457,to_in_001,80
2024,다라008458,to_in_001,59
2024,다라008459,to_in_001,183
2024,다라008460,to_in_001,148
2024,다라008461,to_in_001,56
2024,다라008462,to_in_001,28
2024,다라008463,to_in_001,39
2024,다라008464,to_in_001,13
2024,다라008465,to_in_001,8
2024,다라008466,to_in_001,38
2024,다라008467,to_in_001,43
2024,다라008468,to_in_001,18
2024,다라008469,to_in_001,123
2024,다라008470,to_in_001,146
2024,다라008471,to_in_001,329
2024,다라008472,to_in_001,214
2024,다라008473,to_in_001,5
2024,다라008482,to_in_001,5
2024,다라008483,to_in_001,28
2024,다라008485,to_in_001,188
2024,다라008486,to_in_001,180
2024,다라008487,to_in_001,5
2024,다라008490,to_in_001,8
2024,다라008491,to_in_001,8
2024,다라008492,to_in_001,18
2024,다라008493,to_in_001,33
2024,다라008494,to_in_001,8
2024,다라008495,to_in_001,26
2024,다라008496,to_in_001,44
2024,다라008498,to_in_001,13
2024,다라008499,to_in_001,8
2024,다라008500,to_in_001,0
2024,다라008506,to_in_001,5
2024,다라008507,to_in_001,8
2024,다라008509,to_in_001,8
2024,다라008510,to_in_001,0
2024,다라008512,to_in_001,13
2024,다라008513,to_in_001,5
2024,다라008514,to_in_001,5
2024,다라008515,to_in_001,5
2024,다라008529,to_in_001,5
2024,다라008530,to_in_001,8
