행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
영등포구,학원,라온음악학원,서울특별시 영등포구 국회대로38길 15,예능(대),예능(중),음악,35,19860619,20250406
강서구,학원,공항성진학원,서울특별시 강서구 송정로 37,입시.검정 및 보습,보통교과,"보습,",208,20040406,20260712
강서구,학원,올림영어학원,서울특별시 강서구 강서로45길 49-38,입시.검정 및 보습,보통교과,보습,118,20040406,20250727
은평구,학원,행복당학원,서울특별시 은평구 은평로21길 61,입시.검정 및 보습,보통교과,"보습,",75,20040402,20231018
서초구,학원,이스피릿어학원,서울특별시 서초구 서초대로42길 69,국제화,외국어,"실용외국어(유아/초?중?고),",7,20101007,20251116
강동구,학원,JND보습학원,서울특별시 강동구 상암로 29,입시.검정 및 보습,보통교과,"보습,",30,20040408,20231018
중랑구,교습소,보람미술교습소,서울특별시 중랑구 봉화산로56길 143-10,예능(대),예능(중),미술(초중고),21,20040409,20250112
양천구,교습소,목동필수학교습소,서울특별시 양천구 목동서로 213,입시.검정 및 보습,보통교과,초등수학,15,20040407,20231018
강남구,학원,산꼭대기미술학원,서울특별시 강남구 압구정로36길 18,예능(대),예능(중),미술,269,20040409,20250209
노원구,학원,엑시스학원,서울특별시 노원구 동일로 1701,입시.검정 및 보습,보통교과,보습,0,20040408,20260607
노원구,학원,대치어센트영어전문학원,서울특별시 노원구 한글비석로 227,입시.검정 및 보습,보통교과,보습,0,20040408,20250914
노원구,교습소,오피앙피아노교습소,서울특별시 노원구 동일로 1701,예능(대),예능(중),피아노고급(2),15,20040409,20240908
강동구,학원,전략에듀학원,서울특별시 강동구 명일로 148,입시.검정 및 보습,보통교과,"보습,",189,20040412,20231018
중랑구,교습소,늘푸른피아노교습소,서울특별시 중랑구 겸재로49길 18,예능(대),예능(중),초급피아노1,24,20040413,20250928
구로구,학원,케이이엠학원,서울특별시 구로구 경인로 397,입시.검정 및 보습,보통교과,보습?논술,72,20040413,20241215
구로구,학원,학사영수크리닉학원,서울특별시 구로구 경인로19길 36-7,입시.검정 및 보습,보통교과,"보습,",180,20040414,20231018
송파구,학원,더클래식스보습학원,서울특별시 송파구 송이로 202,입시.검정 및 보습,보통교과,"보습,",56,20040410,20231018
송파구,교습소,피아노하임음악교습소,서울특별시 송파구 송이로10길 8-1,예능(대),예능(중),"초급1(주3회,70분)",16,20040226,20231018
양천구,학원,헤럴드계상어학원,서울특별시 양천구 남부순환로86길 22,국제화,외국어,실용외국어(유아/초?중?고),36,20021014,20260315
강남구,학원,(주)세한아카데미외국어학원,서울특별시 강남구 테헤란로64길 16-9,국제화,외국어,"실용외국어(유아/초?중?고),",675,20070819,20231018
중랑구,학원,TMA실용음악중랑캠퍼스학원,서울특별시 중랑구 동일로 822,예능(대),예능(중),음악,0,20020729,20251005
서대문구,교습소,산내들피아노교습소,서울특별시 서대문구 통일로 319,예능(대),예능(중),피아노 초급,12,20040419,20240908
영등포구,학원,뉴리틀모짜르트음악학원,서울특별시 영등포구 도림로61길 19,예능(대),예능(중),"음악,",115,20040419,20260712
양천구,학원,히파티아수학학원,서울특별시 양천구 목동서로 77,입시.검정 및 보습,보통교과,보습,12,20040416,20260301
양천구,학원,엘제이엠수학원,서울특별시 양천구 목동서로 397,입시.검정 및 보습,보통교과,,93,20040416,20251214
노원구,교습소,국어의날개국어교습소,서울특별시 노원구 동일로 1530,입시.검정 및 보습,보통교과,고등국어,8,20040413,20240707
강서구,학원,우진독서실,서울특별시 강서구 곰달래로53가길 3,독서실,독서,,215,20040419,20260712
서초구,학원,반포시매쓰학원,서울특별시 서초구 서초중앙로31길 14-13,입시.검정 및 보습,보통교과,보습?논술,24,20040320,20250824
강남구,교습소,개포하이탑수학교습소,서울특별시 강남구 개포로109길 5,입시.검정 및 보습,보통교과,초등수학,18,20040419,20241006
양천구,학원,맥스잉글리쉬쥬니어어학원,서울특별시 양천구 목동동로 65,국제화,외국어,실용외국어(유아/초?중?고),40,20021005,20260329
영등포구,교습소,아트랜드미술교습소,서울특별시 영등포구 국회대로37길 15,예능(대),예능(중),,18,20040420,20231029
동대문구,학원,고려GnB아이음악학원,서울특별시 동대문구 전농로 35,종합(대),,"보습,음악",170,20020515,20260628
은평구,교습소,와이비엠잉글루구산영어교습소,서울특별시 은평구 서오릉로17길18,입시.검정 및 보습,보통교과,초등영어A,45,20040420,20231018
마포구,학원,위즈덤하우스영어학원,서울특별시 마포구 독막로 308,입시.검정 및 보습,보통교과,"보습,",30,20040418,20231018
서초구,학원,서초대광보습학원,서울특별시 서초구 서초대로65길 13-18,입시.검정 및 보습,보통교과,"보습,",128,19951031,20260614
강북구,교습소,예뜰미술교습소,서울특별시 강북구 삼양로80길 7,예능(대),예능(중),미술초급,36,19940716,20231018
양천구,학원,세종대조영주무용연구소학원,서울특별시 양천구 목동중앙서로 43,예능(대),예능(중),"무용,",255,20040421,20231018
성북구,교습소,꿈의숲피아노음악교습소,서울특별시 성북구 돌곶이로37길 26,예능(대),예능(중),중급 C,36,20040412,20250209
성북구,교습소,LOB수학교습소,서울특별시 성북구 돌곶이로8가길 2,입시.검정 및 보습,보통교과,고등수학,10,20040420,20231018
서초구,학원,영수전문지앤지학원,서울특별시 서초구 도구로 123-3,입시.검정 및 보습,보통교과,보습?논술,120,19951130,20260614
서초구,교습소,연세소리숲피아노교습소,서울특별시 서초구 잠원로 221,예능(대),예능(중),피아노초급,65,19990304,20260308
용산구,교습소,미오디오피아노교습소,서울특별시 용산구 녹사평대로 254,예능(대),예능(중),고급1(입시)주2회,36,20040227,20231018
마포구,학원,앤섬미술학원,서울특별시 마포구 와우산로 120,예능(대),예능(중),미술,220,20040428,20250824
노원구,학원,김진선국어전문학원,서울특별시 노원구 한글비석로 265,입시.검정 및 보습,보통교과,보습,0,20040428,20260201
강동구,학원,파이널영어학원,서울특별시 강동구 동남로71길 14,입시.검정 및 보습,보통교과,보습,920,20040410,20260809
강북구,교습소,샤인피아노교습소,서울특별시 강북구 도봉로34길 31,예능(대),,초급피아노바이엘A,48,20010221,20231018
양천구,학원,목동캠퍼스현재어학원,서울특별시 양천구 신월로38길 13,종합(대),외국어,"보습,실용외국어(유아/초?중?고)",60,20021126,20250907
광진구,학원,매쓰플랜보습학원,서울특별시 광진구 뚝섬로 558,입시.검정 및 보습,보통교과,보습,0,20050407,20251214
성동구,학원,제일학원2관학원,서울특별시 성동구 금호로 72,입시.검정 및 보습,보통교과,보습,420,20090403,20260426
광진구,학원,애플트리센클영어학원,서울특별시 광진구 능동로4길 61,입시.검정 및 보습,보통교과,"보습,",149,20040414,20231029
동대문구,학원,모짤테움음악학원,서울특별시 동대문구 장안벚꽃로 107,예능(대),예능(중),음악,504,20040428,20231018
성동구,교습소,서정자미술교습소,서울특별시 성동구 뚝섬로 311,예능(대),예능(중),수채화,8,20040401,20240707
강서구,학원,레지오아카데미학원,서울특별시 강서구 화곡로66길 153,국제화,외국어,실용외국어(유아/초?중?고),90,20020622,20260301
광진구,교습소,상상미술교습소,서울특별시 광진구 용마산로3길 104,예능(대),예능(중),초등기초1,85,20040401,20250622
송파구,학원,사이버독서실,서울특별시 송파구 송이로36길 62-19,독서실,독서,독서실(유아/초?중?고),791,20040503,20260621
서초구,학원,송림학원,서울특별시 서초구 반포대로 300-3,입시.검정 및 보습,보통교과,보습,936,20020326,20250525
서초구,학원,엠코에듀학원,서울특별시 서초구 동광로12가길 7,입시.검정 및 보습,보통교과,보습,88,19970827,20260329
강서구,학원,에스에이티(SAT)학원,서울특별시 강서구 화곡로 160,입시.검정 및 보습,보통교과,보습,0,20020917,20260201
서초구,학원,김영플러스학원,서울특별시 서초구 강남대로 419,인문사회(대),인문사회(중),대학편입,3460,20040507,20260705
영등포구,교습소,퍼스트네트워킹(FirstNetworking)국어교습소,서울특별시 영등포구 가마산로79길 7,입시.검정 및 보습,보통교과,초등국어(일70분*주1회*4주),21,20040507,20240512
서초구,학원,페르마수학보습학원,서울특별시 서초구 방배로 90,입시.검정 및 보습,보통교과,보습,734,19880502,20250518
노원구,학원,케이론수학전문학원,서울특별시 노원구 덕릉로73길 18,입시.검정 및 보습,보통교과,보습,150,20040506,20260607
강남구,학원,미래탐구별관3학원,서울특별시 강남구 도곡로63길 13,입시.검정 및 보습,보통교과,보습?논술,1930,20040510,20251019
강남구,학원,헥사곤수학학원,서울특별시 강남구 일원로3길 34,입시.검정 및 보습,보통교과,"보습?논술,",40,20040510,20231018
동대문구,학원,한국전통과학아카데미학원,서울특별시 동대문구 천호대로2길 23-3,직업기술,경영?사무관리,펜글씨,0,20040511,20260201
강남구,학원,리더스엠비에이어학원,서울특별시 강남구 압구정로30길 17,국제화,국제,"어학(성인),",1330,20040508,20231018
강남구,학원,이알피어학원,서울특별시 강남구 테헤란로1길 19,국제화,국제,어학(성인),190,20040510,20260621
강남구,교습소,허정희수학교습소,서울특별시 강남구 강남대로122길 50,입시.검정 및 보습,보통교과,수학,3,20260618,20260816
서초구,학원,서초티오티서초1관학원,서울특별시 서초구 명달로8길 10,입시.검정 및 보습,보통교과,"보습?논술,",142,20040430,20260614
강남구,학원,아트필미술학원,서울특별시 강남구 논현로167길 12,예능(대),예능(중),"미술,",12,20040506,20241215
영등포구,학원,그리니쉬어학원,서울특별시 영등포구 버드나루로 135,국제화,외국어,실용외국어(유아/초?중?고),95,20040512,20240707
강서구,교습소,세명미술교습소,서울특별시 강서구 까치산로26길 7,예능(대),예능(중),미술(주1회),45,20040510,20231018
양천구,교습소,기타의정석기타교습소,서울특별시 양천구 목동동로8길 29,예능(대),예능(중),기타일반,6,20040508,20260614
강북구,교습소,동북이화음악교습소,서울특별시 강북구 솔샘로 233,예능(대),예능(중),초급,20,20010411,20260329
성북구,학원,상승학원,서울특별시 성북구 정릉로36길 3,입시.검정 및 보습,보통교과,"보습,",268,20040513,20260712
강동구,교습소,사이언스캠퍼스과학교습소,서울특별시 강동구 동남로73길 26,입시.검정 및 보습,보통교과,"고등과학(화학)(4주)(주2회,회140분)",5,20040515,20260201
구로구,학원,덕양독서실,서울특별시 구로구 경인로 143,독서실,독서,"독서실(유아/초?중?고),",80,19941103,20231029
구로구,학원,민선생스터디카페독서실,서울특별시 구로구 고척로27길 126,독서실,독서,"독서실(유아/초?중?고),",174,20030307,20231029
마포구,학원,에스더음악학원,서울특별시 마포구 동교로19길 73,기예(대),기예(중),"실용음악(성악),",646,20040513,20231018
