행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
동작구,학원,배우사거리연기뮤지컬학원,서울특별시 동작구 사당로23길 6,기타(대),기타(중),"연극,",36,20210517,20231018
성북구,학원,외솔학원,서울특별시 성북구 종암로9길 86,입시.검정 및 보습,보통교과,"보습?논술,",992,20210517,20231018
마포구,교습소,뮤직아카데미음악교습소,서울특별시 마포구 상암산로1길 69,예능(대),예능(중),,108,20210517,20231018
관악구,학원,드림탑수학학원,서울특별시 관악구 관악로30길 11,입시.검정 및 보습,보통교과,보습,190,20250419,20250525
동작구,학원,한양무용학원,서울특별시 동작구 만양로 19,예능(대),예능(중),"무용,",240,20210518,20231018
양천구,학원,목동바른아트센터학원,서울특별시 양천구 오목로 279,예능(대),예능(중),미술,180,20210518,20250112
강남구,학원,스터디원수학학원,서울특별시 강남구 남부순환로 2909,입시.검정 및 보습,보통교과,보습?논술,110,20210518,20250309
강남구,학원,어썸기타학원,서울특별시 강남구 삼성로85길 43,기예(대),기예(중),미술,15,20210518,20240225
성북구,교습소,리라수학교습소,서울특별시 성북구 삼선교로 87,입시.검정 및 보습,보통교과,초등수학,15,20210518,20260201
강남구,교습소,대치해법중국어교습소,서울특별시 강남구 도곡로 515,국제화,외국어,,15,20210518,20231018
강남구,학원,배우들연기학원,서울특별시 강남구 압구정로54길 21,기예(대),기예(중),,12,20210518,20231018
성동구,교습소,꿈꾸는피아노음악교습소,서울특별시 성동구 무학로 33,예능(대),예능(중),기초주1,20,20180305,20251123
송파구,교습소,영피아노음악교습소,서울특별시 송파구 양산로 14,예능(대),예능(중),,72,20210518,20250727
강동구,학원,센클영어도서관상일학원,서울특별시 강동구 구천면로100길 4,입시.검정 및 보습,보통교과,,90,20210520,20250907
양천구,교습소,비에스이(BSE)영어교습소,서울특별시 양천구 목동서로 349,입시.검정 및 보습,보통교과,,63,20210520,20231018
은평구,학원,진강남학원,서울특별시 은평구 서오릉로17길 13-11,입시.검정 및 보습,보통교과,,35,20210520,20231018
강동구,교습소,브라이튼영어교습소,서울특별시 강동구 고덕로79길 29,입시.검정 및 보습,보통교과,,42,20210520,20250727
동작구,교습소,공터영어사당이수센터영어교습소,서울특별시 동작구 동작대로29길 119,국제화,외국어,영어회화1,45,20210521,20241215
