"X2","X4_합"
"라라3970",33
"라라3971",5
"라라3973",5
"라라3974",41
"라라3975",0
"라라3976",21
"라라3977",10
"라라3978",18
"라라3979",51
"라라3980",10
"라라3981",26
"라라3982",10
"라라3985",58
"라라3986",18
"라라3987",13
"라라3988",31
"라라3989",34
"라라3990",0
"라라3991",10
"라라3992",18
"라라3993",5
"라라3994",31
"라라3995",0
"라라3996",5
"라라3997",54
"라라3998",5
"라라3999",13
"라라4037",12
"라라4038",10
"라라4040",0
"라라4042",80
"라라4045",69
"라라4046",10
"라라4047",26
"라라4048",10
"라라4065",8
"라라4066",13
"라라4067",5
"라라4068",26
"라라4069",26
"라라4070",36
"라라4073",56
"라라4075",24
"라라4076",47
"라라4077",18
"라라4078",13
"라라4079",26
"라라4080",16
"라라4082",5
"라라4083",5
"라라4084",33
"라라4085",46
"라라4086",18
"라라4087",13
"라라4088",8
"라라4089",10
"라라4094",10
"라라4095",58
"라라4097",13
"라라4098",15
"라라4099",25
"라라4135",5
"라라4136",20
"라라4137",36
"라라4138",46
"라라4140",0
"라라4141",66
"라라4142",39
"라라4143",31
"라라4144",74
"라라4145",179
"라라4165",5
"라라4166",21
"라라4167",13
"라라4168",0
"라라4169",19
"라라4170",13
"라라4171",13
"라라4172",16
"라라4173",124
"라라4174",23
"라라4175",23
"라라4180",10
"라라4182",0
"라라4183",13
"라라4184",36
"라라4185",46
"라라4186",33
"라라4188",10
"라라4192",46
"라라4193",122
"라라4195",26
"라라4196",5
"라라4198",8
"라라4199",69
"라라4235",25
"라라4236",27
"라라4242",21
"라라4243",5
"라라4244",41
"라라4245",69
"라라4246",44
"라라4250",10
"라라4251",60
"라라4252",58
"라라4263",5
"라라4264",26
"라라4266",16
"라라4267",41
"라라4268",10
"라라4269",10
"라라4270",18
"라라4271",54
"라라4272",10
"라라4273",171
"라라4274",21
"라라4275",10
"라라4276",10
"라라4278",5
"라라4279",21
"라라4280",16
"라라4281",25
"라라4282",5
"라라4283",31
"라라4285",10
"라라4287",10
"라라4288",8
"라라4289",5
"라라4290",8
"라라4292",17
"라라4293",26
"라라4295",5
"라라4296",13
"라라4297",41
"라라4298",5
"라라4337",0
"라라4342",0
"라라4344",31
"라라4345",59
"라라4346",21
"라라4347",26
"라라4349",18
"라라4350",49
"라라4353",16
