"X1","X2","X3","X4","source_file"
2024,"라라0357","ho_yr_002",23,"2024년_주택_라라_1K.csv"
2024,"라라0357","ho_yr_003",28,"2024년_주택_라라_1K.csv"
2024,"라라0358","ho_yr_001",18,"2024년_주택_라라_1K.csv"
2024,"라라0358","ho_yr_002",13,"2024년_주택_라라_1K.csv"
2024,"라라0358","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0359","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0359","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0359","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0360","ho_yr_003",0,"2024년_주택_라라_1K.csv"
2024,"라라0361","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0361","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0361","ho_yr_003",24,"2024년_주택_라라_1K.csv"
2024,"라라0362","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0362","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0362","ho_yr_003",80,"2024년_주택_라라_1K.csv"
2024,"라라0363","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0363","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0364","ho_yr_001",18,"2024년_주택_라라_1K.csv"
2024,"라라0364","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0364","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0366","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0367","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0368","ho_yr_001",0,"2024년_주택_라라_1K.csv"
2024,"라라0368","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0382","ho_yr_001",18,"2024년_주택_라라_1K.csv"
2024,"라라0382","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0382","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0383","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0383","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0383","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0384","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0384","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0386","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0386","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0386","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0387","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0387","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0387","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0388","ho_yr_001",19,"2024년_주택_라라_1K.csv"
2024,"라라0388","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0388","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0389","ho_yr_001",18,"2024년_주택_라라_1K.csv"
2024,"라라0389","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0389","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0424","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0424","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0427","ho_yr_001",11,"2024년_주택_라라_1K.csv"
2024,"라라0427","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0432","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0446","ho_yr_001",22,"2024년_주택_라라_1K.csv"
2024,"라라0446","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0446","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0447","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0447","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0447","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0448","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0448","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0449","ho_yr_001",18,"2024년_주택_라라_1K.csv"
